listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Private room,5,1,1,600
Entire home/apt,5,1,1,1740
Entire home/apt,5,0,1,850
Entire home/apt,4.5,2,1,6000
Entire home/apt,4.5,1,1,1100
Private room,5,1,0.5,250
Entire home/apt,4.5,2,2,1180
Entire home/apt,4.5,2,2,1000
Entire home/apt,4.5,2,2,1350
Entire home/apt,5,2,1,1250
Private room,5,1,1,420
Entire home/apt,5,0,1,750
Entire home/apt,5,2,1,1100
Entire home/apt,5,1,1,810
Entire home/apt,,1,1,1150
Private room,4.5,1,1,680
Entire home/apt,5,2,1,900
Entire home/apt,5,1,1,780
Private room,5,1,1,550
Entire home/apt,5,4,3,2500
Entire home/apt,4.5,0,1,890
Entire home/apt,5,1,1,1150
Entire home/apt,5,1,1,720
Private room,5,1,1,790
Private room,5,1,1,350
Entire home/apt,5,4,1,1690
Private room,5,1,1,670
Entire home/apt,5,1,1,750
Entire home/apt,5,1,1,1250
Private room,5,1,1,600
Entire home/apt,5,6,4.5,7000
Entire home/apt,5,1,1,750
Private room,5,1,1,420
Entire home/apt,5,3,2,2500
Entire home/apt,5,1,1,1300
Private room,4.5,1,1,950
Private room,5,1,5,1350
Entire home/apt,5,1,1,950
Entire home/apt,5,1,1,1100
Entire home/apt,5,0,1,990
Entire home/apt,,2,1,550
Entire home/apt,5,0,1,890
Entire home/apt,5,1,1,700
Private room,5,1,1,380
Entire home/apt,4.5,1,1,850
Entire home/apt,4.5,2,1,1230
Private room,5,1,2,420
Private room,5,1,2,480
Entire home/apt,5,0,1,740
Entire home/apt,5,1,1,790
Private room,5,1,1,410
Entire home/apt,5,2,2,1300
Private room,5,2,1.5,990
Entire home/apt,5,2,2,1650
Entire home/apt,5,1,1,1000
Private room,4.5,1,1,310
Entire home/apt,4.5,0,1,700
Private room,5,1,1.5,520
Entire home/apt,5,1,1,1050
Entire home/apt,5,2,1.5,1250
Entire home/apt,5,4,2.5,3250
Entire home/apt,5,1,1,1050
Entire home/apt,5,1,1,690
Entire home/apt,5,1,1,900
Private room,5,1,1,550
Entire home/apt,5,2,1,2650
Entire home/apt,5,1,1,1400
Entire home/apt,4.5,3,2.5,9500
Private room,5,1,2,990
Entire home/apt,5,1,1,850
Private room,5,1,1,480
Entire home/apt,5,0,1,700
Private room,5,1,1.5,1250
Private room,4.5,1,2.5,450
Entire home/apt,5,1,1,1390
Entire home/apt,5,0,1,900
Entire home/apt,5,2,1,750
Entire home/apt,5,3,1,1800
Entire home/apt,4.5,1,1,1150
Private room,4.5,2,1,1000
Entire home/apt,5,0,1,690
Entire home/apt,5,1,1,890
Entire home/apt,,5,2,2850
Entire home/apt,4.5,1,1,1500
Entire home/apt,5,1,1,2890
Private room,5,1,1,700
Entire home/apt,4.5,0,1,890
Entire home/apt,5,3,1,1950
Entire home/apt,4.5,3,1,2030
Entire home/apt,4.5,1,1,1250
Entire home/apt,5,1,1,630
Entire home/apt,5,0,1,580
Entire home/apt,5,2,2,2000
Entire home/apt,5,1,2,1850
Entire home/apt,4,0,1,750
Entire home/apt,5,1,1,2240
Entire home/apt,4.5,1,1,1230
Entire home/apt,5,1,1,1090
Entire home/apt,5,2,2,2500
